Order,Order Date,Region,Channel,Category,Product,Customer Segment,Units,Unit Price,Discount,Revenue,Cost,Margin,Fulfilled,Returned,Delivery Days
1,2024-01-01,North,Web,Home,Desk Lamp,Consumer,2,31.90,,63.80,33.17,30.62,true,true,
2,2024-01-02,South,Store,Home,Storage Bin,Small Business,3,17.94,0.05,51.13,24.03,27.10,true,false,4
3,2024-01-03,East,Wholesale,Outdoors,Trail Bottle,Enterprise,2,23.89,0.10,43.01,18.92,24.08,true,false,6
4,2024-01-04,West,Web,Outdoors,Camp Chair,Consumer,11,71.08,0.20,625.51,362.80,262.72,true,false,2
5,2024-01-05,North,Store,Kitchen,Chef Pan,Small Business,1,44.78,0.00,44.78,24.63,20.15,true,false,2
6,2024-01-06,South,Wholesale,Electronics,USB Hub,Enterprise,7,28.97,0.05,192.66,121.38,71.28,true,false,5
7,2024-01-07,East,Web,Home,Desk Lamp,Consumer,20,31.95,0.10,575.10,299.05,276.05,true,false,6
8,2024-01-08,West,Store,Home,Storage Bin,Small Business,4,17.07,0.20,54.63,25.68,28.96,true,false,4
9,2024-01-09,North,Wholesale,Outdoors,Trail Bottle,Enterprise,2,24.46,0.00,48.93,21.53,27.40,true,false,2
10,2024-01-10,South,Web,Outdoors,Camp Chair,Consumer,1,75.09,0.05,71.34,41.37,29.96,false,false,5
11,2024-01-11,East,Store,Kitchen,Chef Pan,Small Business,3,48.57,0.10,131.13,72.12,59.01,true,false,2
12,2024-01-12,West,Wholesale,Electronics,USB Hub,Enterprise,6,26.53,0.20,127.32,80.21,47.11,true,false,4
13,2024-01-13,North,Web,Home,Desk Lamp,Consumer,6,31.42,0.00,188.53,98.03,90.49,true,false,5
14,2024-01-14,South,Store,Home,Storage Bin,Small Business,2,18.54,0.05,35.23,16.56,18.67,true,false,4
15,2024-01-15,East,Wholesale,Outdoors,Trail Bottle,Enterprise,1,25.19,0.10,22.68,9.98,12.70,true,false,2
16,2024-01-16,West,Web,Outdoors,Camp Chair,Consumer,16,71.82,0.20,919.34,533.22,386.12,true,false,5
17,2024-01-17,North,Store,Kitchen,Chef Pan,Small Business,4,47.21,0.00,188.84,103.86,84.98,true,false,2
18,2024-01-18,South,Wholesale,Electronics,USB Hub,Enterprise,2,28.47,0.05,54.08,34.07,20.01,true,false,6
19,2024-01-19,East,Web,Home,Desk Lamp,Consumer,2,31.00,0.10,55.80,29.01,26.78,true,false,1
20,2024-01-20,West,Store,Home,Storage Bin,Small Business,17,18.60,0.20,252.89,118.86,134.03,true,false,3
21,2024-01-21,North,Wholesale,Outdoors,Trail Bottle,Enterprise,11,24.52,0.00,269.67,118.66,151.02,true,false,1
22,2024-01-22,South,Web,Outdoors,Camp Chair,Consumer,2,78.31,0.05,148.79,86.30,62.49,true,false,5
23,2024-01-23,East,Store,Kitchen,Chef Pan,Small Business,15,45.91,0.10,619.81,340.90,278.91,true,false,5
24,2024-01-24,West,Wholesale,Electronics,USB Hub,Enterprise,17,26.77,0.20,364.03,229.34,134.69,true,true,9
25,2024-01-25,North,Web,Home,Desk Lamp,Consumer,14,31.00,0.00,433.98,225.67,208.31,true,false,6
26,2024-01-26,South,Store,Home,Storage Bin,Small Business,2,18.54,0.05,35.22,16.55,18.67,true,false,6
27,2024-01-27,East,Wholesale,Outdoors,Trail Bottle,Enterprise,5,24.88,0.10,111.94,49.25,62.69,true,false,4
28,2024-01-28,West,Web,Outdoors,Camp Chair,Consumer,6,75.00,0.20,359.98,208.79,151.19,true,false,6
29,2024-01-29,North,Store,Kitchen,Chef Pan,Small Business,2,48.47,0.00,96.93,53.31,43.62,true,false,5
30,2024-01-30,South,Wholesale,Electronics,USB Hub,Enterprise,20,26.72,0.05,507.61,319.79,187.81,true,false,2
31,2024-01-31,East,Web,Home,Desk Lamp,Consumer,11,33.23,0.10,329.00,171.08,157.92,true,false,6
32,2024-02-01,West,Store,Home,Storage Bin,Small Business,15,17.56,0.20,210.66,99.01,111.65,true,false,2
33,2024-02-02,North,Wholesale,Outdoors,Trail Bottle,Enterprise,13,24.20,0.00,314.55,138.40,176.15,true,false,1
34,2024-02-03,South,Web,Outdoors,Camp Chair,Consumer,13,70.83,0.05,874.79,507.38,367.41,true,false,4
35,2024-02-04,East,Store,Kitchen,Chef Pan,Small Business,16,43.78,0.10,630.46,346.75,283.71,true,false,1
36,2024-02-05,West,Wholesale,Electronics,USB Hub,Enterprise,1,27.18,0.20,21.75,13.70,8.05,true,false,5
37,2024-02-06,North,Web,Home,Desk Lamp,Consumer,21,33.34,0.00,700.19,364.10,336.09,true,false,2
38,2024-02-07,South,Store,Home,Storage Bin,Small Business,6,18.30,0.05,104.32,49.03,55.29,true,true,3
39,2024-02-08,East,Wholesale,Outdoors,Trail Bottle,Enterprise,1,24.93,0.10,22.44,9.87,12.57,true,false,6
40,2024-02-09,West,Web,Outdoors,Camp Chair,Consumer,1,74.01,0.20,59.21,34.34,24.87,true,false,3
41,2024-02-10,North,Store,Kitchen,Chef Pan,Small Business,12,47.75,0.00,573.04,315.17,257.87,true,false,5
42,2024-02-11,South,Wholesale,Electronics,USB Hub,Enterprise,18,28.22,0.05,482.60,304.04,178.56,true,false,2
43,2024-02-12,East,Web,Home,Desk Lamp,Consumer,2,31.38,0.10,56.48,29.37,27.11,true,false,5
44,2024-02-13,West,Store,Home,Storage Bin,Small Business,6,18.37,0.20,88.18,41.44,46.73,true,false,4
45,2024-02-14,North,Wholesale,Outdoors,Trail Bottle,Enterprise,9,22.56,0.00,203.05,89.34,113.71,true,false,5
46,2024-02-15,South,Web,Outdoors,Camp Chair,Consumer,20,74.29,0.05,1411.50,818.67,592.83,true,false,2
47,2024-02-16,East,Store,Kitchen,Chef Pan,Small Business,5,46.84,0.10,210.77,115.92,94.85,true,false,3
48,2024-02-17,West,Wholesale,Electronics,USB Hub,Enterprise,22,27.15,0.20,477.79,301.01,176.78,true,false,4
49,2024-02-18,North,Web,Home,Desk Lamp,Consumer,1,30.57,0.00,30.57,15.90,14.67,false,false,4
50,2024-02-19,South,Store,Home,Storage Bin,Small Business,21,16.95,0.05,338.14,158.93,179.22,true,false,4
51,2024-02-20,East,Wholesale,Outdoors,Trail Bottle,Enterprise,10,24.22,0.10,217.95,95.90,122.05,true,false,2
52,2024-02-21,West,Web,Outdoors,Camp Chair,Consumer,18,75.04,0.20,1080.52,626.70,453.82,true,false,2
53,2024-02-22,North,Store,Kitchen,Chef Pan,Small Business,1,48.32,0.00,48.32,26.57,21.74,true,false,4
54,2024-02-23,South,Wholesale,Electronics,USB Hub,Enterprise,6,28.82,0.05,164.28,103.50,60.78,true,false,2
